Process ID | Call Type | File Format | Count | Previous File | Current File
528 | dynamic | tflite | 6 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Subresource Filter\Indexed Rules\36\9.58.0\Ruleset Data | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\optimization_guide_model_store\25\E6DC4029A1E4B4C1\14C381D90B00D645\visual_model_desktop.tflite
529 | dynamic | tflite | 6 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\optimization_guide_model_store\25\E6DC4029A1E4B4C1\14C381D90B00D645\visual_model_desktop.tflite | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\optimization_guide_model_store\30\E6DC4029A1E4B4C1\1EBAF634ED79AC48\model.tflite
530 | dynamic | tmp | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\optimization_guide_model_store\30\E6DC4029A1E4B4C1\1EBAF634ED79AC48\model.tflite | C:\Users\SacraSystemsWS12\AppData\Local\Temp\1f24dda6-6c8a-40b7-b769-24a15367e2fd.tmp
531 | dynamic | ttf | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Temp\1f24dda6-6c8a-40b7-b769-24a15367e2fd.tmp | C:\Windows\Fonts\Nirmala.ttf
532 | dynamic | ttf | 2 | C:\Windows\Fonts\ariblk.ttf | C:\Windows\Fonts\consola.ttf
533 | dynamic | ttf | 2 | C:\Windows\Fonts\consolaz.ttf | C:\Windows\Fonts\segoeui.ttf
534 | dynamic | dll | 1 | C:\Windows\System32\AcLayers.dll | C:\Windows\System32\AudioSes.dll
535 | dynamic | dll | 1 | C:\Windows\System32\AudioSes.dll | C:\Windows\System32\CoreMessaging.dll
536 | dynamic | dll | 1 | C:\Windows\System32\MMDevAPI.dll | C:\Windows\System32\ResourcePolicyClient.dll
537 | dynamic | dll | 1 | C:\Windows\System32\ResourcePolicyClient.dll | C:\Windows\System32\SHCore.dll
538 | dynamic | dll | 1 | C:\Windows\System32\SHCore.dll | C:\Windows\System32\TextInputFramework.dll
539 | dynamic | dll | 1 | C:\Windows\System32\WindowManagementAPI.dll | C:\Windows\System32\Windows.UI.dll
540 | dynamic | dll | 1 | C:\Windows\System32\apphelp.dll | C:\Windows\System32\avrt.dll
541 | dynamic | dll | 1 | C:\Windows\System32\avrt.dll | C:\Windows\System32\bcrypt.dll
542 | dynamic | dll | 1 | C:\Windows\System32\dbghelp.dll | C:\Windows\System32\devobj.dll
543 | dynamic | mui | 1 | C:\Windows\System32\dpapi.dll | C:\Windows\System32\en-US\KernelBase.dll.mui
544 | dynamic | dll | 2 | C:\Windows\System32\sspicli.dll | C:\Windows\System32\twinapi.appcore.dll
545 | dynamic | dll | 2 | C:\Windows\System32\twinapi.appcore.dll | C:\Windows\System32\ucrtbase.dll
546 | dynamic | tmp | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\optimization_guide_model_store\30\E6DC4029A1E4B4C1\1EBAF634ED79AC48\model.tflite | C:\Users\SacraSystemsWS12\AppData\Local\Temp\7ee2f497-dc0e-401c-ba88-3abe56624d7f.tmp
547 | dynamic | ttf | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Temp\7ee2f497-dc0e-401c-ba88-3abe56624d7f.tmp | C:\Windows\Fonts\arial.ttf
548 | dynamic | ldb | 1 | C:\Program Files\Google\Chrome\Application\chrome.exe | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Local Storage\leveldb\000005.ldb
549 | dynamic | ldb | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Local Storage\leveldb\000005.ldb | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Local Storage\leveldb\000967.ldb
550 | dynamic | log | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Local Storage\leveldb\000967.ldb | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Local Storage\leveldb\000968.log
551 | dynamic | ldb | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Local Storage\leveldb\000968.log | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Local Storage\leveldb\000969.ldb
552 | dynamic | - | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Local Storage\leveldb\000969.ldb | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Local Storage\leveldb\LOG
553 | dynamic | - | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Local Storage\leveldb\LOG | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Local Storage\leveldb\MANIFEST-000001
554 | dynamic | ldb | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Local Storage\leveldb\MANIFEST-000001 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Session Storage\000212.ldb
555 | dynamic | log | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Session Storage\000212.ldb | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Session Storage\000213.log
556 | dynamic | ldb | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Session Storage\000213.log | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Session Storage\000214.ldb
557 | dynamic | - | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Session Storage\000214.ldb | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Session Storage\LOG
558 | dynamic | - | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Session Storage\LOG | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Session Storage\MANIFEST-000001
559 | dynamic | nls | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\Profile 5\Session Storage\MANIFEST-000001 | C:\Windows\Globalization\Sorting\SortDefault.nls
560 | dynamic | dll | 1 | C:\Windows\System32\secur32.dll | C:\Windows\System32\shell32.dll
561 | dynamic | dll | 1 | C:\Windows\System32\shell32.dll | C:\Windows\System32\sspicli.dll
562 | dynamic | tmp | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Google\Chrome\User Data\optimization_guide_model_store\30\E6DC4029A1E4B4C1\1EBAF634ED79AC48\model.tflite | C:\Users\SacraSystemsWS12\AppData\Local\Temp\e52e2008-6f3d-4183-a156-4153725aafff.tmp
563 | dynamic | ttf | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Temp\e52e2008-6f3d-4183-a156-4153725aafff.tmp | C:\Windows\Fonts\arial.ttf
564 | dynamic | dll | 1 | C:\Program Files\Google\Chrome\Application\138.0.7204.185\chrome_elf.dll | C:\Program Files\Google\Chrome\Application\138.0.7204.185\dxcompiler.dll
565 | dynamic | idx | 1 | C:\Program Files\Google\Chrome\Application\chrome.exe | C:\Users\SacraSystemsWS12\AppData\Local\Packages\cr.sb.odm3E4D1A088C1F6D498C84F3C86DE73CE49F82A104\AC\F4EB2D6C-ED2B-4BDD-AD9D-F913287E6768.idx
566 | dynamic | lock | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Packages\cr.sb.odm3E4D1A088C1F6D498C84F3C86DE73CE49F82A104\AC\F4EB2D6C-ED2B-4BDD-AD9D-F913287E6768.idx | C:\Users\SacraSystemsWS12\AppData\Local\Packages\cr.sb.odm3E4D1A088C1F6D498C84F3C86DE73CE49F82A104\AC\F4EB2D6C-ED2B-4BDD-AD9D-F913287E6768.lock
567 | dynamic | val | 1 | C:\Users\SacraSystemsWS12\AppData\Local\Packages\cr.sb.odm3E4D1A088C1F6D498C84F3C86DE73CE49F82A104\AC\F4EB2D6C-ED2B-4BDD-AD9D-F913287E6768.lock | C:\Users\SacraSystemsWS12\AppData\Local\Packages\cr.sb.odm3E4D1A088C1F6D498C84F3C86DE73CE49F82A104\AC\F4EB2D6C-ED2B-4BDD-AD9D-F913287E6768.val
